Year-Month,Method,Category,Format,TitleVolume,Activity,Unit,Sum
2017-03,Manual,Serials,Serial,Volumes,withdraws,Serials,-488
2017-03,P-FILE-90,Book,Book,Titles,additions,Acquisitions,302
2017-03,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,302
2017-03,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,408
2017-03,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,425
2017-04,Manual,Book,Book,Volumes,additions,Cataloging,2
2017-04,P-FILE-90,Book,Book,Titles,additions,Acquisitions,311
2017-04,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,327
2017-04,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,235
2017-04,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,235
2017-05,P-FILE-90,Book,Book,Titles,additions,Acquisitions,311
2017-05,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,311
2017-05,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,17
2017-05,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,17
2017-06,P-FILE-90,Book,Book,Titles,additions,Acquisitions,185
2017-06,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,186
2017-06,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,2
2017-06,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,2
2017-07,GENLOAD,Book,Book,Titles,additions,Acquisitions,16
2017-07,GENLOAD,Book,Book,Volumes,additions,Acquisitions,16
2017-07,Manual,Book,Book,Titles,additions,Cataloging,379
2017-07,Manual,Book,Book,Titles,additions,Serials,30
2017-07,Manual,Book,Book,Titles,withdraws,Cataloging,-209
2017-07,Manual,Book,Book,Volumes,additions,Cataloging,422
2017-07,Manual,Book,Book,Volumes,additions,Serials,31
2017-07,Manual,Book,Book,Volumes,withdraws,Cataloging,-228
2017-07,Manual,Document,Document,Titles,additions,Cataloging,1
2017-07,Manual,Document,Document,Titles,additions,Serials,5
2017-07,Manual,Document,Document,Volumes,additions,Cataloging,1
2017-07,Manual,Document,Document,Volumes,additions,Serials,11
2017-07,Manual,Media,DVD,Titles,additions,Cataloging,1
2017-07,Manual,Media,DVD,Volumes,additions,Cataloging,1
2017-07,Manual,Other,Mixed,Titles,additions,Cataloging,1
2017-07,Manual,Other,Mixed,Volumes,additions,Cataloging,1
2017-07,Manual,Serials,Periodical,Titles,additions,Serials,2
2017-07,Manual,Serials,Periodical,Titles,withdraws,Serials,-1
2017-07,Manual,Serials,Periodical,Volumes,additions,Serials,17
2017-07,Manual,Serials,Periodical,Volumes,withdraws,Serials,-214
2017-07,Manual,Serials,Serial,Titles,withdraws,Cataloging,-6
2017-07,Manual,Serials,Serial,Volumes,additions,Serials,24
2017-07,Manual,Serials,Serial,Volumes,withdraws,Cataloging,-43
2017-07,P-FILE-90,Book,Book,Titles,additions,Acquisitions,456
2017-07,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,456
2017-07,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,83
2017-07,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,83
